id,id_type,in_logs,in_sample_list,location,mismatch
ERR315325,ERR,True,False,none,True
ERR315382,ERR,True,False,none,True
ERR315418,ERR,True,False,none,True
ERR315420,ERR,True,False,none,True
ERR315449,ERR,True,False,none,True
ERR315459,ERR,True,False,none,True
SAMN01136907,SAMN,True,True,first_column,False
SAMN01136947,SAMN,True,True,first_column,False
SAMN01137005,SAMN,True,True,first_column,False
SAMN01137118,SAMN,True,True,first_column,False
SAMN04349058,SAMN,True,True,first_column,False
SAMN04349059,SAMN,True,True,first_column,False
SAMN04349060,SAMN,True,True,first_column,False
SAMN04349061,SAMN,True,True,first_column,False
SAMN04349062,SAMN,True,True,first_column,False
SAMN04349063,SAMN,True,True,first_column,False
SAMN04349064,SAMN,True,True,first_column,False
SAMN04349065,SAMN,True,True,first_column,False
SAMN04349066,SAMN,True,True,first_column,False
SAMN04349067,SAMN,True,True,first_column,False
SAMN04349068,SAMN,True,True,first_column,False
SAMN04349069,SAMN,True,True,first_column,False
SAMN04349070,SAMN,True,True,first_column,False
SAMN04349071,SAMN,True,True,first_column,False
SAMN04349072,SAMN,True,True,first_column,False
SAMN04349073,SAMN,True,True,first_column,False
SAMN04349074,SAMN,True,True,first_column,False
SAMN04349075,SAMN,True,True,first_column,False
SAMN04349076,SAMN,True,True,first_column,False
SAMN04349077,SAMN,True,True,first_column,False
SAMN04349078,SAMN,True,True,first_column,False
SAMN04349079,SAMN,True,True,first_column,False
SAMN04349080,SAMN,True,True,first_column,False
SAMN04349081,SAMN,True,True,first_column,False
SAMN04349082,SAMN,True,True,first_column,False
SAMN04349083,SAMN,True,True,first_column,False
SAMN04349084,SAMN,True,True,first_column,False
SAMN04349085,SAMN,True,True,first_column,False
SAMN04349086,SAMN,True,True,first_column,False
SAMN04349087,SAMN,True,True,first_column,False
SAMN04349088,SAMN,True,True,first_column,False
SAMN04349089,SAMN,True,True,first_column,False
SAMN04349090,SAMN,True,True,first_column,False
SAMN04349091,SAMN,True,True,first_column,False
SAMN04349092,SAMN,True,True,first_column,False
SAMN04349093,SAMN,True,True,first_column,False
SAMN04349094,SAMN,True,True,first_column,False
SAMN04349095,SAMN,True,True,first_column,False
SAMN04349096,SAMN,True,True,first_column,False
SAMN04349097,SAMN,True,True,first_column,False
SAMN04349098,SAMN,True,True,first_column,False
SAMN04349099,SAMN,True,True,first_column,False
SAMN04349100,SAMN,True,True,first_column,False
SAMN04349101,SAMN,True,True,first_column,False
SAMN04349102,SAMN,True,True,first_column,False
SAMN04349103,SAMN,True,True,first_column,False
SAMN04349104,SAMN,True,True,first_column,False
SAMN04372240,SAMN,True,True,first_column,False
SAMN04372241,SAMN,True,True,first_column,False
SAMN04372242,SAMN,True,True,first_column,False
SAMN07246723,SAMN,True,True,first_column,False
SAMN07246724,SAMN,True,True,first_column,False
SAMN07246725,SAMN,True,True,first_column,False
SAMN07246726,SAMN,True,True,first_column,False
SAMN07246727,SAMN,True,True,first_column,False
SAMN07246728,SAMN,True,True,first_column,False
SAMN07246729,SAMN,True,True,first_column,False
SAMN07246730,SAMN,True,True,first_column,False
SAMN07246731,SAMN,True,True,first_column,False
SAMN07246732,SAMN,True,True,first_column,False
SAMN07246733,SAMN,True,True,first_column,False
SAMN07246734,SAMN,True,True,first_column,False
SAMN07246735,SAMN,True,True,first_column,False
SAMN07246736,SAMN,True,True,first_column,False
SAMN07246737,SAMN,True,True,first_column,False
SAMN07246738,SAMN,True,True,first_column,False
SAMN07246739,SAMN,True,True,first_column,False
SAMN07246740,SAMN,True,True,first_column,False
SAMN07246741,SAMN,True,True,first_column,False
SAMN07246742,SAMN,True,True,first_column,False
SAMN07246743,SAMN,True,True,first_column,False
SAMN07246744,SAMN,True,True,first_column,False
SAMN07246745,SAMN,True,True,first_column,False
SAMN07246746,SAMN,True,True,first_column,False
SAMN07246747,SAMN,True,True,first_column,False
SAMN07246748,SAMN,True,True,first_column,False
SAMN07246749,SAMN,True,True,first_column,False
SAMN07246750,SAMN,True,True,first_column,False
SAMN07246751,SAMN,True,True,first_column,False
SAMN07246752,SAMN,True,True,first_column,False
SAMN07246753,SAMN,True,True,first_column,False
SAMN07246754,SAMN,True,True,first_column,False
SAMN07246755,SAMN,True,True,first_column,False
SAMN07246756,SAMN,True,True,first_column,False
SAMN07246757,SAMN,True,True,first_column,False
SAMN07246758,SAMN,True,True,first_column,False
SAMN07246759,SAMN,True,True,first_column,False
SAMN07246760,SAMN,True,True,first_column,False
SAMN07246761,SAMN,True,True,first_column,False
SAMN07246762,SAMN,True,True,first_column,False
SAMN12994619,SAMN,True,True,first_column,False
SAMN12994620,SAMN,True,True,first_column,False
SAMN12994621,SAMN,True,True,first_column,False
SAMN12994622,SAMN,True,True,first_column,False
SAMN12994623,SAMN,True,True,first_column,False
SAMN12994624,SAMN,True,True,first_column,False
SAMN12994625,SAMN,True,True,first_column,False
SAMN12994626,SAMN,True,True,first_column,False
SAMN14327601,SAMN,True,True,first_column,False
SAMN14327803,SAMN,True,True,first_column,False
SAMN14327928,SAMN,True,True,first_column,False
SAMN14328334,SAMN,True,True,first_column,False
SAMN14328648,SAMN,True,True,first_column,False
SAMN20169169,SAMN,True,True,first_column,False
SAMN20169171,SAMN,True,True,first_column,False
SAMN20169173,SAMN,True,True,first_column,False
SAMN20169176,SAMN,True,True,first_column,False
SAMN20169179,SAMN,True,True,first_column,False
SAMN20223881,SAMN,True,True,first_column,False
SAMN20223883,SAMN,True,True,first_column,False
SAMN20223885,SAMN,True,True,first_column,False
SAMN20223887,SAMN,True,True,first_column,False
SAMN20223889,SAMN,True,True,first_column,False
SAMN37353904,SAMN,True,True,first_column,False
SAMN37353905,SAMN,True,True,first_column,False
SAMN37353906,SAMN,True,True,first_column,False
SAMN37353907,SAMN,True,True,first_column,False
SAMN37353908,SAMN,True,True,first_column,False
SAMN37353909,SAMN,True,True,first_column,False
SAMN37353910,SAMN,True,True,first_column,False
SAMN37353911,SAMN,True,True,first_column,False
SAMN37353912,SAMN,True,True,first_column,False
SAMN37353913,SAMN,True,True,first_column,False
SAMN37353914,SAMN,True,True,first_column,False
SAMN37353915,SAMN,True,True,first_column,False
SAMN37353916,SAMN,True,True,first_column,False
SAMN37353917,SAMN,True,True,first_column,False
SAMN37353918,SAMN,True,True,first_column,False
SAMN37353919,SAMN,True,True,first_column,False
SAMN37353920,SAMN,True,True,first_column,False
SAMN37353921,SAMN,True,True,first_column,False
SAMN37353922,SAMN,True,True,first_column,False
SAMN37353923,SAMN,True,True,first_column,False
SAMN41434525,SAMN,True,True,first_column,False
SAMN41434526,SAMN,True,True,first_column,False
SAMN41434527,SAMN,True,True,first_column,False
SAMN41434528,SAMN,True,True,first_column,False
SAMN41434529,SAMN,True,True,first_column,False
SAMN41434530,SAMN,True,True,first_column,False
SAMN41434531,SAMN,True,True,first_column,False
SAMN41434532,SAMN,True,True,first_column,False
SAMN41434533,SAMN,True,True,first_column,False
SAMN41434534,SAMN,True,True,first_column,False
SAMN41434535,SAMN,True,True,first_column,False
SAMN41434536,SAMN,True,True,first_column,False
SAMN43304814,SAMN,True,True,first_column,False
SAMN43304815,SAMN,True,True,first_column,False
SAMN43304816,SAMN,True,True,first_column,False
SAMN43304817,SAMN,True,True,first_column,False
SAMN43304818,SAMN,True,True,first_column,False
SAMN43304819,SAMN,True,True,first_column,False
SAMN43304821,SAMN,True,True,first_column,False
SAMN43304822,SAMN,True,True,first_column,False
SAMN43304824,SAMN,True,True,first_column,False
SAMN43304825,SAMN,True,True,first_column,False
SAMN43304826,SAMN,True,True,first_column,False
SAMN43304827,SAMN,True,True,first_column,False
SAMN43304828,SAMN,True,True,first_column,False
SAMN43304829,SAMN,True,True,first_column,False
SAMN43304830,SAMN,True,True,first_column,False
SAMN43304831,SAMN,True,True,first_column,False
SAMN43304832,SAMN,True,True,first_column,False
SAMN43304833,SAMN,True,True,first_column,False
SAMN43304834,SAMN,True,True,first_column,False
SAMN43304835,SAMN,True,True,first_column,False
SAMN43304836,SAMN,True,True,first_column,False
SAMN43304838,SAMN,True,True,first_column,False
SAMN43304839,SAMN,True,True,first_column,False
SAMN43304840,SAMN,True,True,first_column,False
SAMN44842444,SAMN,True,True,first_column,False
SAMN44842445,SAMN,True,True,first_column,False
SAMN44842446,SAMN,True,True,first_column,False
SAMN44842447,SAMN,True,True,first_column,False
SAMN44842448,SAMN,True,True,first_column,False
SAMN44842449,SAMN,True,True,first_column,False
SAMN44842450,SAMN,True,True,first_column,False
SAMN44842451,SAMN,True,True,first_column,False
SAMN44842452,SAMN,True,True,first_column,False
SAMN44842453,SAMN,True,True,first_column,False
SAMN44842454,SAMN,True,True,first_column,False
SAMN44842455,SAMN,True,True,first_column,False
SAMN44842456,SAMN,True,True,first_column,False
SAMN44842457,SAMN,True,True,first_column,False
SAMN44842458,SAMN,True,True,first_column,False
SAMN44842459,SAMN,True,True,first_column,False
SAMN44842460,SAMN,True,True,first_column,False
SAMN44842461,SAMN,True,True,first_column,False
SAMN44842462,SAMN,True,True,first_column,False
SAMN44842463,SAMN,True,True,first_column,False
SAMN44842464,SAMN,True,True,first_column,False
SAMN44842465,SAMN,True,True,first_column,False
SRR10246409,SRR,True,True,R1_or_R2,False
SRR10246410,SRR,True,True,R1_or_R2,False
SRR10246411,SRR,True,True,R1_or_R2,False
SRR10246412,SRR,True,True,R1_or_R2,False
SRR10246413,SRR,True,True,R1_or_R2,False
SRR10246414,SRR,True,True,R1_or_R2,False
SRR10246415,SRR,True,True,R1_or_R2,False
SRR10246416,SRR,True,True,R1_or_R2,False
SRR15100667,SRR,True,True,R1_or_R2,False
SRR15100669,SRR,True,True,R1_or_R2,False
SRR15100671,SRR,True,True,R1_or_R2,False
SRR15100673,SRR,True,True,R1_or_R2,False
SRR15100675,SRR,True,True,R1_or_R2,False
SRR15132669,SRR,True,True,R1_or_R2,False
SRR15132671,SRR,True,True,R1_or_R2,False
SRR15132673,SRR,True,True,R1_or_R2,False
SRR15132675,SRR,True,True,R1_or_R2,False
